path	bytes	sha256	records	query_bp	aln_bp	matches	mean_identity	query_sequences	target_sequences	gzip_ok
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/raw_paf/PAN027mat_vs_PAN010_joint.sweepga_many_many_j0.paf.gz	10344828	a55a2bf6632f998bc3c80d471648537abad6e9bfba4adea002280183cb7cb5da	409	3161574384	3163974197	3146743850	0.994554	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_many_many_j0.paf.gz	3508293	dd2288657344c723b5d3750c4fcbda48c7e1d9eb59b806e71e14753f3dfb3051	260	3133400532	3134304368	3126953792	0.997655	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/raw_paf/PAN028mat_vs_PAN027_joint.sweepga_many_many_j0.paf.gz	266708308	da2962d577893fba7b95f6f4267a32faa190ae27c3dca8220467d77765ef0a54	16477	6622012399	6693742963	6245340626	0.933012	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027mat_vs_PAN010_joint.chopped_l10000_o0.paf.gz	4192415	e97b49857fdf5fc88ce9b22705bacde62626793fd835c28a4958d7d0df51a649	316431	3161574384	3163951391	3146780729	0.994573	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	4152295	0d2ce6865b216d2b3ea952da2275083419d778146c1989a445d0222d8b304083	313481	3133400532	3134276335	3126974570	0.997670	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/chopped_paf_l10000_o0/PAN028mat_vs_PAN027_joint.chopped_l10000_o0.paf.gz	10917293	5a78a7a80611088ebf39c47c6cd3efd31bcdf30259d74295b38a62272ff18e68	670629	6622012399	6693730140	6245356289	0.933016	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.four_many_chopped.paf.gz	4114341	fe439b923678980955052e6225ca707b0bcbbb33800aadcf5d00ac5dd74b245c	313034	3128861848	3130723468	3118374309	0.996055	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.many_many_chopped.paf.gz	4192415	e97b49857fdf5fc88ce9b22705bacde62626793fd835c28a4958d7d0df51a649	316431	3161574384	3163951391	3146780729	0.994573	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.one_many_chopped.paf.gz	3959115	f65362c3e277d8475cbb2cdac10abca023bc6d8306f86fe2d04d458223e16421	302709	3026769033	3027183378	3024082607	0.998976	23	45	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.one_one_chopped.paf.gz	3955613	99d97d5c4c58c48af1d8bd4760db1db85eee5cee2cd2ca2fe875960b94528326	302528	3025052250	3025420836	3022612560	0.999072	23	45	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027mat_vs_PAN010_joint.two_many_chopped.paf.gz	4075352	57caddc246264d8a37fb9ea3671e4b6996af2006ce9a8effad5d048d46de0a50	310401	3102833860	3103920936	3096533269	0.997620	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.four_many_chopped.paf.gz	4101077	330a4c5e371e55ca1723eb8766e7d593b426821812e9276e1baf2e0d21ab578c	312928	3127928734	3128691915	3122462241	0.998009	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.many_many_chopped.paf.gz	4152295	0d2ce6865b216d2b3ea952da2275083419d778146c1989a445d0222d8b304083	313481	3133400532	3134276335	3126974570	0.997670	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.one_many_chopped.paf.gz	3955379	81765fe44aa03b819027816aec31ef791cadba02b4ca65dd188df5232d9366bb	302864	3028368802	3028780387	3025316644	0.998856	23	44	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.one_one_chopped.paf.gz	3953588	bcb4b7495698f1e49b17fc466fb6181d2fbdf04a70fb24ea428cf55e0606f8cc	302768	3027462645	3027871719	3024428001	0.998863	23	44	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN027pat_vs_PAN011_joint.two_many_chopped.paf.gz	4091664	9190cea33486bea55df1fd175a75f1ad5985808305a8d25c08c176dbe01d0882	312184	3120620229	3121292454	3115972380	0.998296	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.four_many_chopped.paf.gz	7729876	ebe2c6cd0986259c70ea520afd4105903fb7e20b92d17e8a39e27e2049c64b2c	499096	4920760799	4931335217	4862509540	0.986043	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.many_many_chopped.paf.gz	10917293	5a78a7a80611088ebf39c47c6cd3efd31bcdf30259d74295b38a62272ff18e68	670629	6622012399	6693730140	6245356289	0.933016	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.one_many_chopped.paf.gz	4682598	adc1234042465f54a2e481313423e1814fc0dfdc0d4e71321f0ab5b595da8a50	308376	3068310991	3071595406	3050765564	0.993219	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.one_one_chopped.paf.gz	4591557	33b97fd79ff4ef5f2c5e805e144ef36f30f0763150428c0c8d6d27fe16d8f2af	303572	3022033128	3024220980	3010748917	0.995545	23	46	yes
/moosefs/erikg/phrs/.wg-worktrees/agent-2639/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_updated_bin/filtered_paf/PAN028mat_vs_PAN027_joint.two_many_chopped.paf.gz	7363751	cccf55ffac865811da07fb9467b731ef2acf228558a72c08434864f0b27536af	478332	4739462484	4746074149	4704536117	0.991248	23	46	yes
