event_id	comparison_id	panel_label	query_name	window_start	window_end	query_start	query_end	query_rel_start	query_rel_end	window_overlap_bp	target_name	target_chrom	target_start	target_end	strand	matches	alignment_length	identity	expected_target_chroms	is_expected_target	source_layer	filtered_paf	filtered_paf_line
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135703896	135705896	0	1071	1071	PAN011#joint#h2_chr9	chr9	133237936	133239936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2138
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135705896	135707896	1071	3071	2000	PAN011#joint#h2_chr9	chr9	133239936	133241936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2139
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135707896	135709896	3071	5071	2000	PAN011#joint#h2_chr9	chr9	133241936	133243936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2140
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135709896	135711896	5071	7071	2000	PAN011#joint#h2_chr9	chr9	133243936	133245936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2141
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135711896	135713896	7071	9071	2000	PAN011#joint#h2_chr9	chr9	133245936	133247936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2142
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135713896	135715896	9071	11071	2000	PAN011#joint#h2_chr9	chr9	133247936	133249936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2143
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135715896	135717896	11071	13071	2000	PAN011#joint#h2_chr9	chr9	133249936	133251936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2144
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135717896	135719896	13071	15071	2000	PAN011#joint#h2_chr9	chr9	133251936	133253936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2145
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135719896	135721896	15071	17071	2000	PAN011#joint#h2_chr9	chr9	133253936	133255936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2146
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	PAN027 chr9q -> chr3q	PAN027#2#chr9	135704825	136204825	135721896	135723896	17071	19071	2000	PAN011#joint#h2_chr9	chr9	133255936	133257936	+	2000	2000	1.000000	chr3	no	raw_fasta_sweepga_fastga_f16_pafchop_l2000_sweepga_1to1_scoring_ani	/moosefs/erikg/phrs/.wg-worktrees/agent-2682/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chopped_panels/evidence_paf/PAN027pat_vs_PAN011_joint.window_extract.one_one_scoring_ani_chopped_l2000_o0.paf.gz	2147
