pair	transmission	query_arm	query_arm_order	target_arm	target_chrom	strict_segment_count	strict_total_bp	interchromosomal_bp	same_chromosome_bp	candidate_callout_bp	side_fragment_caveat_bp	event_ids	event_roles	target_haplotypes	query_windows_native	coordinate_system	geometry_source
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr1p	1	chr1p	chr1	1	499987	0	499987	0	0			PAN010#1	chr1:11374-511374	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr1q	2	chr1q	chr1	1	500000	0	500000	0	0			PAN010#2	chr1:246517480-247017480	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr2p	3	chr2p	chr2	3	500000	0	500000	0	0			PAN010#1;PAN010#2	chr2:7468-507468	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr2q	4	chr2q	chr2	2	500000	0	500000	0	0			PAN010#1;PAN010#2	chr2:242001098-242501098	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr3p	5	chr3p	chr3	1	500000	0	500000	0	0			PAN010#1	chr3:9503-509503	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr3q	6	chr3q	chr3	11	496539	0	496539	0	0			PAN010#1;PAN010#2	chr3:200905557-201405557	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr3q	6	chr9q	chr9	2	3461	3461	0	0	0			PAN010#2	chr3:200905557-201405557	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr4p	7	chr4p	chr4	1	500000	0	500000	0	0			PAN010#2	chr4:6777-506777	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr4q	8	chr4q	chr4	14	433036	0	433036	0	0			PAN010#1;PAN010#2	chr4:191881281-192381281	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr5p	9	chr5p	chr5	1	499996	0	499996	0	0			PAN010#2	chr5:8641-508641	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
PAN027_vs_PAN010	PAN027 maternal hap1 <- PAN010 mother	chr5q	10	chr5q	chr5	4	499999	0	499999	0	0			PAN010#1;PAN010#2	chr5:183333449-183833449	native sample assembly window coordinates; not CHM13-projected	paper_prep/_brainstorming/fig5_sweepga_1to1_redraw/conservative_segments.tsv
