run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	query_span_bp	donor_span_bp	windows	mean_identity	category
chr14_homolog_run0095	chr14	13400000	13980000	chr14	h2	PAN027#joint#h2_chr14	6394769	6974814	580000	580000	580045	290	0.998912	homologous_same_chrom
chr22_homolog_run0152	chr22	6986000	7360000	chr22	h1	PAN027#joint#h1_chr22	6588697	6962653	374000	374000	373956	187	0.999263	homologous_same_chrom
chr13_homolog_run0074	chr13	6704000	7074000	chr13	h1	PAN027#joint#h1_chr13	6170194	6540193	370000	370000	369999	185	0.999999	homologous_same_chrom
chr13_homolog_run0049	chr13	2612000	2954000	chr13	h1	PAN027#joint#h1_chr13	2634109	2976123	342000	342000	342014	171	0.999962	homologous_same_chrom
chr13_homolog_run0061	chr13	4494000	4816000	chr13	h1	PAN027#joint#h1_chr13	3960204	4282204	322000	322000	322000	161	1.000000	homologous_same_chrom
chr22_homolog_run0151	chr22	6594000	6890000	chr22	h1	PAN027#joint#h1_chr22	6196685	6492672	296000	296000	295987	148	0.999431	homologous_same_chrom
chr13_homolog_run0060	chr13	4216000	4490000	chr13	h1	PAN027#joint#h1_chr13	3682204	3956204	274000	274000	274000	137	0.999522	homologous_same_chrom
chr14_homolog_run0260	chr14	16690000	16964000	chr14	h1	PAN027#joint#h1_chr14	8058766	8333014	274000	274000	274248	137	0.998810	homologous_same_chrom
chr1_homolog_run3424	chr1	129462000	129728000	chr1	h2	PAN027#joint#h2_chr1	130447957	130713954	266000	266000	265997	133	0.999434	homologous_same_chrom
chr2_homolog_run2909	chr2	133910000	134154000	chr2	h2	PAN027#joint#h2_chr2	133909265	134153263	244000	244000	243998	122	0.999996	homologous_same_chrom
chr22_homolog_run0184	chr22	8926000	9160000	chr22	h2	PAN027#joint#h2_chr22	7561988	7796027	234000	234000	234039	117	0.995798	homologous_same_chrom
chr15_homolog_run0194	chr15	8678000	8902000	chr15	h1	PAN027#joint#h1_chr15	11691339	11915396	224000	224000	224057	112	0.996186	homologous_same_chrom
chr21_homolog_run0169	chr21	7332000	7554000	chr21	h2	PAN027#joint#h2_chr21	5521959	5743969	222000	222000	222010	111	0.998203	homologous_same_chrom
chr13_homolog_run0138	chr13	8866000	9070000	chr13	h2	PAN027#joint#h2_chr13	7475305	7679392	204000	204000	204087	102	0.997174	homologous_same_chrom
chr16_homolog_run0002	chr16	4000	198000	chr16	h1	PAN027#joint#h1_chr16	3970	197938	194000	194000	193968	97	0.999912	homologous_same_chrom
chr22_homolog_run0198	chr22	10044000	10238000	chr22	h2	PAN027#joint#h2_chr22	8674274	8868291	194000	194000	194017	97	0.999405	homologous_same_chrom
chr13_homolog_run0117	chr13	8098000	8290000	chr13	h2	PAN027#joint#h2_chr13	6667306	6859264	192000	192000	191958	96	0.996933	homologous_same_chrom
chr14_homolog_run0091	chr14	13156000	13344000	chr14	h2	PAN027#joint#h2_chr14	6168247	6356248	188000	188000	188001	94	0.999471	homologous_same_chrom
chr13_homolog_run0073	chr13	6506000	6690000	chr13	h1	PAN027#joint#h1_chr13	5972196	6156194	184000	184000	183998	92	0.999995	homologous_same_chrom
chr20_homolog_run0605	chr20	30024000	30208000	chr20	h1	PAN027#joint#h1_chr20	30040143	30224142	184000	184000	183999	92	0.999997	homologous_same_chrom
chr22_homolog_run0144	chr22	5998000	6180000	chr22	h1	PAN027#joint#h1_chr22	5597297	5779279	182000	182000	181982	91	0.999439	homologous_same_chrom
chr13_homolog_run0040	chr13	1082000	1262000	chr13	h1	PAN027#joint#h1_chr13	1104109	1284109	180000	180000	180000	90	1.000000	homologous_same_chrom
chr13_homolog_run0064	chr13	4942000	5122000	chr13	h1	PAN027#joint#h1_chr13	4408204	4588202	180000	180000	179998	90	0.999994	homologous_same_chrom
chr2_homolog_run2051	chr2	91522000	91690000	chr2	h2	PAN027#joint#h2_chr2	91521510	91689509	168000	168000	167999	84	0.999997	homologous_same_chrom
chr13_homolog_run0044	chr13	2078000	2246000	chr13	h1	PAN027#joint#h1_chr13	2100109	2268109	168000	168000	168000	84	1.000000	homologous_same_chrom
chr13_homolog_run0072	chr13	6332000	6498000	chr13	h1	PAN027#joint#h1_chr13	5798198	5964196	166000	166000	165998	83	0.999994	homologous_same_chrom
chr13_homolog_run0121	chr13	8300000	8466000	chr13	h2	PAN027#joint#h2_chr13	6907306	7073301	166000	166000	165995	83	0.995998	homologous_same_chrom
chr22_homolog_run0153	chr22	7362000	7528000	chr22	h1	PAN027#joint#h1_chr22	6964653	7130652	166000	166000	165999	83	0.999443	homologous_same_chrom
chr22_homolog_run0186	chr22	9182000	9348000	chr22	h2	PAN027#joint#h2_chr22	7817790	7983703	166000	166000	165913	83	0.997357	homologous_same_chrom
chr5_homolog_run1389	chr5	51758000	51922000	chr5	h2	PAN027#joint#h2_chr5	51875854	52039861	164000	164000	164007	82	0.999893	homologous_same_chrom
chr16_homolog_run1313	chr16	90474000	90634376	chr16	h2	PAN027#joint#h2_chr16	90341513	90501887	160376	160376	160374	81	0.999988	homologous_same_chrom
chr22_homolog_run0135	chr22	5360000	5520000	chr22	h1	PAN027#joint#h1_chr22	4970604	5130617	160000	160000	160013	80	0.996741	homologous_same_chrom
chr13_homolog_run0039	chr13	902000	1060000	chr13	h1	PAN027#joint#h1_chr13	924110	1082109	158000	158000	157999	79	0.999997	homologous_same_chrom
chr2_homolog_run2915	chr2	134358000	134514000	chr2	h2	PAN027#joint#h2_chr2	134357257	134513255	156000	156000	155998	78	0.999994	homologous_same_chrom
chr13_homolog_run0066	chr13	5592000	5748000	chr13	h1	PAN027#joint#h1_chr13	5058202	5214199	156000	156000	155997	78	0.999990	homologous_same_chrom
chr2_homolog_run2028	chr2	90064000	90216000	chr2	h2	PAN027#joint#h2_chr2	90063525	90215523	152000	152000	151998	76	0.999993	homologous_same_chrom
chr2_homolog_run2520	chr2	115534000	115684000	chr2	h2	PAN027#joint#h2_chr2	115533381	115683381	150000	150000	150000	75	0.999993	homologous_same_chrom
chr2_homolog_run2058	chr2	91794000	91938000	chr2	h2	PAN027#joint#h2_chr2	91793509	91937507	144000	144000	143998	72	0.999993	homologous_same_chrom
chr21_homolog_run0164	chr21	6994000	7136000	chr21	h2	PAN027#joint#h2_chr21	5195021	5337006	142000	142000	141985	71	0.997271	homologous_same_chrom
chr21_homolog_run0107	chr21	4988000	5128000	chr21	h2	PAN027#joint#h2_chr21	3238677	3378625	140000	140000	139948	70	0.996286	homologous_same_chrom
chr2_homolog_run1963	chr2	87848000	87986000	chr2	h2	PAN027#joint#h2_chr2	87847579	87985578	138000	138000	137999	69	0.999996	homologous_same_chrom
chr4_homolog_run1438	chr4	49452000	49590000	chr4	h1	PAN027#joint#h1_chr4	49601226	49739256	138000	138000	138030	69	0.998160	homologous_same_chrom
chr1_homolog_run3413	chr1	128534000	128670000	chr1	h2	PAN027#joint#h2_chr1	129588964	129724964	136000	136000	136000	68	0.999015	homologous_same_chrom
chr9_homolog_run3360	chr9	134744000	134880000	chr9	h2	PAN027#joint#h2_chr9	136068333	136204398	136000	136000	136065	68	0.998726	homologous_same_chrom
chr2_homolog_run2090	chr2	96698000	96832000	chr2	h2	PAN027#joint#h2_chr2	96697503	96831500	134000	134000	133997	67	0.999989	homologous_same_chrom
chr14_homolog_run0097	chr14	14192000	14326000	chr14	h2	PAN027#joint#h2_chr14	7220998	7354849	134000	134000	133851	67	0.998852	homologous_same_chrom
chr10_homolog_run0995	chr10	38714000	38846000	chr10	h1	PAN027#joint#h1_chr10	38715614	38847614	132000	132000	132000	66	1.000000	homologous_same_chrom
chr13_homolog_run0038	chr13	744000	874000	chr13	h1	PAN027#joint#h1_chr13	766110	896110	130000	130000	130000	65	0.999992	homologous_same_chrom
chr13_homolog_run0122	chr13	8468000	8598000	chr13	h2	PAN027#joint#h2_chr13	7075618	7205587	130000	130000	129969	65	0.996611	homologous_same_chrom
chr14_homolog_run0257	chr14	16472000	16602000	chr14	h1	PAN027#joint#h1_chr14	7840795	7970828	130000	130000	130033	65	0.999489	homologous_same_chrom
chr15_homolog_run0038	chr15	2258000	2388000	chr15	h1	PAN027#joint#h1_chr15	4173410	4303455	130000	130000	130045	65	0.993391	homologous_same_chrom
chr13_homolog_run0141	chr13	9182000	9310000	chr13	h2	PAN027#joint#h2_chr13	7792710	7920598	128000	128000	127888	64	0.995424	homologous_same_chrom
chr14_homolog_run0033	chr14	6784000	6912000	chr14	h1	PAN027#joint#h1_chr14	2207067	2335066	128000	128000	127999	64	0.994254	homologous_same_chrom
chr14_homolog_run0055	chr14	8972000	9100000	chr14	h1	PAN027#joint#h1_chr14	2207168	2335242	128000	128000	128074	64	0.993828	homologous_same_chrom
chr13_homolog_run0059	chr13	4068000	4192000	chr13	h1	PAN027#joint#h1_chr13	3534204	3658204	124000	124000	124000	62	1.000000	homologous_same_chrom
chr13_homolog_run0123	chr13	8600000	8724000	chr13	h2	PAN027#joint#h2_chr13	7207498	7331738	124000	124000	124240	62	0.995301	homologous_same_chrom
chr13_homolog_run0143	chr13	9390000	9512000	chr13	h2	PAN027#joint#h2_chr13	8000277	8122189	122000	122000	121912	61	0.998539	homologous_same_chrom
chr13_homolog_run0036	chr13	596000	716000	chr13	h1	PAN027#joint#h1_chr13	618110	738110	120000	120000	120000	60	1.000000	homologous_same_chrom
