event_id	comparison_id	filter_mode	filter_label	chop_length_bp	query_name	window_start_abs	window_end_abs	target_chrom	overlap_rows	sum_overlap_bp	query_union_bp	paf_path
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr9	266	531071	446347	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr16	5	10000	10000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr19	20	40000	40000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr3	38	76000	65562	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr1	16	32000	32000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr11	1	1025	1025	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_ani	no-merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr20	1	2000	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	135704825	136204825	chr9	266	531071	446347	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	135704825	136204825	chr16	5	10000	10000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	135704825	136204825	chr19	20	40000	40000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	135704825	136204825	chr3	38	76000	65562	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	135704825	136204825	chr1	16	32000	32000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	135704825	136204825	chr20	1	2000	2000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	no_merge_log_length_ani	no-merge log-length-ANI	2000	PAN027#2#chr9	135704825	136204825	chr11	1	612	612	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_ani	50kb scaffold/merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr9	265	529071	445071	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.scaffold50k_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_ani	50kb scaffold/merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr16	3	6000	6000	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.scaffold50k_ani.paf.gz
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	scaffold50k_ani	50kb scaffold/merge ANI	2000	PAN027#2#chr9	135704825	136204825	chr3	39	76715	66277	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.scaffold50k_ani.paf.gz
