comparison_id	chop_length_bp	filter_mode	filter_label	num_mappings	scaffold_jump	scoring	source_chopped_paf	filtered_paf	filtered_paf_sha256	reused_from	status
PAN027pat_vs_PAN011_joint	2000	no_merge_ani	no-merge ANI	1:1	0	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_ani.paf.gz	500dce726bc92827ea09a19c88df2e7f5d11ee03bce4c8e61e97e1a397d12908	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN027pat_vs_PAN011_joint.l2000.one_one_chopped.paf.gz	OK
PAN027pat_vs_PAN011_joint	2000	no_merge_log_length_ani	no-merge log-length-ANI	1:1	0	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.no_merge_log_length_ani.paf.gz	92ca25e697d0d2c1b44c45c8e1e1cf92fcab4cd2248c85ab7efab667e5a80bfa		OK
PAN027pat_vs_PAN011_joint	2000	scaffold50k_ani	50kb scaffold/merge ANI	1:1	50k	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.scaffold50k_ani.paf.gz	2ec7c29add997d4775bbfe7adb0e176850ddefd36069a603de476a1ddfd99051		OK
PAN027pat_vs_PAN011_joint	2000	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	1:1	50k	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l2000_o0/PAN027pat_vs_PAN011_joint.chopped_l2000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l2000.scaffold50k_log_length_ani.paf.gz	136c700716b0f3c35ad9a0f989fc2c21c6d8ef7e0689058d643f51fffba522a8		OK
PAN027pat_vs_PAN011_joint	5000	no_merge_ani	no-merge ANI	1:1	0	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.no_merge_ani.paf.gz	540bafca800df026034ad106e245fd4b6c3e3ba26e6a128449a2dc8a45a42a66	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN027pat_vs_PAN011_joint.l5000.one_one_chopped.paf.gz	OK
PAN027pat_vs_PAN011_joint	5000	no_merge_log_length_ani	no-merge log-length-ANI	1:1	0	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.no_merge_log_length_ani.paf.gz	8ff85b2c980ad90320172fe5b8ed3758ed762a155d73a8023249e03eb2bd2853		OK
PAN027pat_vs_PAN011_joint	5000	scaffold50k_ani	50kb scaffold/merge ANI	1:1	50k	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.scaffold50k_ani.paf.gz	6054da4f8f8cd2710b242b000380ebc6a03c9b14c5225308a6ccd2a39aebe534		OK
PAN027pat_vs_PAN011_joint	5000	scaffold50k_log_length_ani	50kb scaffold/merge log-length-ANI	1:1	50k	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l5000_o0/PAN027pat_vs_PAN011_joint.chopped_l5000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l5000.scaffold50k_log_length_ani.paf.gz	886588a81bf93501f8c683b534830afc8bafbed8d02ff570a43a16f192d0eb1b		OK
PAN027pat_vs_PAN011_joint	10000	no_merge_ani	no-merge ANI	1:1	0	ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.no_merge_ani.paf.gz	c7d203c0d6ff2b71872e49a15bf87ebc4bf14b7b50f8b469439404249424ff79	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/filtered_paf_chop_sensitivity/PAN027pat_vs_PAN011_joint.l10000.one_one_chopped.paf.gz	OK
PAN027pat_vs_PAN011_joint	10000	no_merge_log_length_ani	no-merge log-length-ANI	1:1	0	log-length-ani	/moosefs/erikg/phrs/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/chopped_paf_l10000_o0/PAN027pat_vs_PAN011_joint.chopped_l10000_o0.paf.gz	/moosefs/erikg/phrs/.wg-worktrees/agent-2685/paper_prep/_brainstorming/fig5_raw_fasta_sweepga_f16_chop_filter_sensitivity_panels/filtered_paf/PAN027pat_vs_PAN011_joint.l10000.no_merge_log_length_ani.paf.gz	ad73ef0ded3fa061c2af2c397a0bcf401968394e532617f5924309e7bc2c5733		OK
