candidate_id	comparison_id	layer	paf_path	query_name	query_start	query_end	target_chrom	overlap_rows	sum_overlap_bp	query_union_bp	emits_chr3_target	raw_paf_status	note
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr1	84	634524	221851	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr10	30	186283	92228	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr11	28	358073	207586	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr12	28	134055	56774	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr13	3	12597	12597	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr14	30	82259	21344	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr15	26	292684	137174	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr16	36	346415	200729	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr17	12	45246	16983	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr18	35	148410	70829	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr19	19	361598	194626	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr2	14	92654	44094	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr20	55	356128	123597	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency16	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr21	6	25194	12597	no	OK	Raw PAF produced by explicit --fastga-frequency 16 many:many scaffold-jump 0 run.
