layout_page	layout_panel_on_page	layout_height_in	Community	label	chrom_arm	ucsc_position_display	phr_inclusive_bp	browser_window_bp	terminal_gap_bp	image_path	ucsc_url
1	1	2.774	C1	chr10q	chr10_q	chr10:134,488,135-134,758,134	180000	270000	3140	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr10q_chr10_134488135_134758134.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr10%3A134488135-134758134&pix=1800
1	2	2.658	C1	chr4q	chr4_q	chr4:193,304,946-193,574,945	180000	270000	2205	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr4q_chr4_193304946_193574945.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr4%3A193304946-193574945&pix=1800
2	1	2.310	C2	chr10p	chr10_p	chr10:1-105,002	70001	105002	2489	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr10p_chr10_1_105002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr10%3A1-105002&pix=1800
2	2	3.586	C2	chr18p	chr18_p	chr18:1-397,502	265001	397502	2017	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr18p_chr18_1_397502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr18%3A1-397502&pix=1800
3	1	5.674	C3	chr11p	chr11_p	chr11:1-352,502	235001	352502	1736	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr11p_chr11_1_352502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr11%3A1-352502&pix=1800
4	1	6.022	C3	chr19p	chr19_p	chr19:1-315,002	210001	315002	1962	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr19p_chr19_1_315002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr19%3A1-315002&pix=1800
5	1	2.658	C3	chr3q	chr3_q	chr3:200,723,449-201,105,948	255000	382500	4586	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr3q_chr3_200723449_201105948.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr3%3A200723449-201105948&pix=1800
5	2	2.542	C3	chr9q	chr9_q	chr9:150,279,748-150,617,247	225000	337500	2223	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr9q_chr9_150279748_150617247.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr9%3A150279748-150617247&pix=1800
6	1	4.166	C3	chr16q	chr16_q	chr16:96,097,875-96,330,374	155000	232500	2558	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr16q_chr16_96097875_96330374.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr16%3A96097875-96330374&pix=1800
7	1	3.818	C3	chr7p	chr7_p	chr7:1-262,502	175001	262502	3375	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr7p_chr7_1_262502.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr7%3A1-262502&pix=1800
7	2	1.846	C4	chr12q	chr12_q	chr12:133,287,049-133,324,548	25000	37500	2275	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr12q_chr12_133287049_133324548.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr12%3A133287049-133324548&pix=1800
7	3	1.382	C4	chr7q	chr7_q	chr7:160,559,929-160,567,428	5000	7500	1827	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr7q_chr7_160559929_160567428.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr7%3A160559929-160567428&pix=1800
8	1	2.426	C5	chr9p	chr9_p	chr9:1-60,002	40001	60002	3488	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr9p_chr9_1_60002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr9%3A1-60002&pix=1800
8	2	2.194	C5	chr12p	chr12_p	chr12:1-105,002	70001	105002	2783	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr12p_chr12_1_105002.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr12%3A1-105002&pix=1800
9	1	2.542	C5	chr20q	chr20_q	chr20:66,052,756-66,210,255	105000	157500	2887	slides/chm13-phr-ucsc-browser/_assets/ucsc/panels/chr20q_chr20_66052756_66210255.png	https://genome.ucsc.edu/cgi-bin/hgTracks?db=hub_3671779_hs1&hgsid=3966979908_lGks6rs34CqmdawD8iwY2YCYKVd3&position=chr20%3A66052756-66210255&pix=1800
