event_id	event_label	comparison_id	query_name	window_start	window_end	cell_id	source_kind	scaffold_jump	min_aln_length	scoring	num_mappings	scaffold_mass	overlap	query_start	query_end	query_clip_start	query_clip_end	window_overlap_bp	target_name	target_chrom	target_start	target_end	strand	matches	alignment_length	identity	expected_target_chroms	is_expected_target	paf_path	paf_line
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	131429896	136204658	135704825	136204658	499833	PAN011#joint#h2_chr9	chr9	128963891	133738689	+	4774260	4774944	0.999857	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	322216
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135642539	135794870	135704825	135794870	90045	PAN011#joint#h1_chr9	chr9	135614367	135766668	+	152126	152380	0.998333	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323188
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135713144	135713607	135713144	135713607	463	PAN011#joint#h1_chr1	chr1	68815503	68815972	+	415	470	0.882979	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323197
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135713144	135713607	135713144	135713607	463	PAN011#joint#h2_chr1	chr1	68766025	68766492	+	415	468	0.886752	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323198
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135716454	135717488	135716454	135717488	1034	PAN011#joint#h1_chr8	chr8	124770505	124771528	+	899	1050	0.856190	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323199
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135716454	135717488	135716454	135717488	1034	PAN011#joint#h2_chr8	chr8	124449236	124450259	+	899	1050	0.856190	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323200
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135719495	135719911	135719495	135719911	416	PAN011#joint#h1_chr3	chr3	53636983	53637392	+	369	419	0.880668	chr3	yes	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323201
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135719495	135719911	135719495	135719911	416	PAN011#joint#h2_chr3	chr3	53697018	53697427	+	369	419	0.880668	chr3	yes	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323202
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135794227	135902138	135794227	135902138	107911	PAN011#joint#h1_chr9	chr9	135766839	135874807	+	107796	107982	0.998277	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323203
PAN027_chr9q_chr3q_PHR_candidate	PAN027 chr9q->chr3q	PAN027pat_vs_PAN011_joint	PAN027#2#chr9	135704825	136204825	raw_many_many_unfiltered	raw_baseline	0	raw	raw	many:many	10k	default	135815747	135816135	135815747	135816135	388	PAN011#joint#h1_chr9	chr9	134760000	134760383	-	361	388	0.930412	chr3	no	/moosefs/erikg/phrs/.wg-worktrees/agent-2649/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency16/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency16_many_many_j0.paf.gz	323204
