metric	value
source	/moosefs/erikg/phrs/paper_prep/_brainstorming/fig5_pre_impg_depth_filtered_similarity/outputs/PAN027mat_vs_PAN010_joint.sweepga_f32.10to10.query_2000bp.predepth_class_winners.impg_similarity.tsv.gz
end_to_end_merge_gap_bp	0
inter_beats_same_segments_2kb	1036
inter_beats_same_end_to_end_runs	660
drawn_high_conf_runs	25
drawn_high_conf_bp	366000
all_multi_window_runs_with_first_window_only_query_span	0
all_query_span_shorter_than_bp_runs	0
all_query_span_longer_than_bp_runs	0
all_max_query_span_bp	34000
all_max_donor_span_bp	34041
all_max_windows_per_run	17
drawn_multi_window_runs_with_first_window_only_query_span	0
drawn_query_span_shorter_than_bp_runs	0
drawn_query_span_longer_than_bp_runs	0
drawn_max_query_span_bp	34000
drawn_max_donor_span_bp	34041
drawn_max_windows_per_run	17
PAR_XY_runs	0
PAR_XY_bp	0
chr5_chr1_candidate_runs	0
chr5_chr1_candidate_bp	0
chr9_chr3_candidate_runs	0
chr9_chr3_candidate_bp	0
acro_acro_runs	25
acro_acro_bp	366000
acro_other_runs	0
acro_other_bp	0
other_nonacro_runs	0
other_nonacro_bp	0
