run_id	query_chrom	query_start	query_end	target_chrom	donor_haplotype	donor_seq	donor_start	donor_end	bp	query_span_bp	donor_span_bp	windows	mean_same_identity	mean_inter_identity	delta_identity	category
chr15_run0239	chr15	5892000	5926000	chr21	h2	PAN010#joint#h2_chr21	3931077	3965118	34000	34000	34041	17	0.979105	0.996491	0.017386	acro_acro
chr22_run0115	chr22	3926000	3950000	chr21	h1	PAN010#joint#h1_chr21	2149190	2173197	24000	24000	24007	12	0.989919	0.999521	0.009602	acro_acro
chr15_run0214	chr15	5368000	5390000	chr14	h2	PAN010#joint#h2_chr14	4554463	4576453	22000	22000	21990	11	0.965330	0.998045	0.032715	acro_acro
chr13_run0110	chr13	7952000	7970000	chr21	h1	PAN010#joint#h1_chr21	7744619	7762618	18000	18000	17999	9	0.995919	0.999139	0.003220	acro_acro
chr22_run0007	chr22	360000	378000	chr15	h1	PAN010#joint#h1_chr15	277605	295603	18000	18000	17998	9	0.894698	0.997833	0.103136	acro_acro
chr22_run0048	chr22	1580000	1598000	chr21	h2	PAN010#joint#h2_chr21	964055	982055	18000	18000	18000	9	0.875955	0.999389	0.123434	acro_acro
chr15_run0120	chr15	4618000	4634000	chr14	h2	PAN010#joint#h2_chr14	2665120	2681122	16000	16000	16002	8	0.986135	0.997563	0.011428	acro_acro
chr22_run0047	chr22	1544000	1560000	chr21	h2	PAN010#joint#h2_chr21	928055	944055	16000	16000	16000	8	0.934182	0.998625	0.064443	acro_acro
chr13_run0055	chr13	7696000	7710000	chr21	h1	PAN010#joint#h1_chr21	7383167	7397181	14000	14000	14014	7	0.989046	0.997288	0.008241	acro_acro
chr15_run0066	chr15	4176000	4190000	chr14	h1	PAN010#joint#h1_chr14	3502119	3516119	14000	14000	14000	7	0.994536	0.997214	0.002678	acro_acro
chr15_run0152	chr15	4758000	4772000	chr14	h2	PAN010#joint#h2_chr14	2803855	2817850	14000	14000	13995	7	0.988102	0.996391	0.008289	acro_acro
chr22_run0030	chr22	682000	696000	chr14	h1	PAN010#joint#h1_chr14	782689	796686	14000	14000	13997	7	0.785912	0.972818	0.186906	acro_acro
chr22_run0121	chr22	3974000	3988000	chr21	h1	PAN010#joint#h1_chr21	2197170	2211170	14000	14000	14000	7	0.922982	0.999786	0.076804	acro_acro
chr13_run0054	chr13	7682000	7694000	chr21	h1	PAN010#joint#h1_chr21	7369170	7381168	12000	12000	11998	6	0.995916	0.998500	0.002584	acro_acro
chr13_run0151	chr13	8112000	8124000	chr21	h1	PAN010#joint#h1_chr21	7904694	7916687	12000	12000	11993	6	0.994274	0.998207	0.003933	acro_acro
chr15_run0026	chr15	362000	374000	chr13	h2	PAN010#joint#h2_chr13	363417	375375	12000	12000	11958	6	0.966432	0.995231	0.028800	acro_acro
chr15_run0086	chr15	4288000	4300000	chr14	h2	PAN010#joint#h2_chr14	2318349	2330337	12000	12000	11988	6	0.988850	0.993659	0.004809	acro_acro
chr22_run0117	chr22	3952000	3964000	chr21	h1	PAN010#joint#h1_chr21	2175198	2187198	12000	12000	12000	6	0.990909	0.999750	0.008841	acro_acro
chr13_run0027	chr13	7564000	7574000	chr21	h1	PAN010#joint#h1_chr21	7252015	7262016	10000	10000	10001	5	0.993751	0.996950	0.003199	acro_acro
chr13_run0112	chr13	7976000	7986000	chr21	h1	PAN010#joint#h1_chr21	7768619	7778619	10000	10000	10000	5	0.994482	0.999400	0.004918	acro_acro
chr15_run0032	chr15	1038000	1048000	chr21	h1	PAN010#joint#h1_chr21	775636	785636	10000	10000	10000	5	0.847366	0.997800	0.150434	acro_acro
chr15_run0068	chr15	4194000	4204000	chr14	h1	PAN010#joint#h1_chr14	3520123	3530128	10000	10000	10005	5	0.992901	0.997050	0.004150	acro_acro
chr15_run0110	chr15	4580000	4590000	chr13	h2	PAN010#joint#h2_chr13	2493361	2503366	10000	10000	10005	5	0.971727	0.992652	0.020925	acro_acro
chr15_run0123	chr15	4642000	4652000	chr13	h1	PAN010#joint#h1_chr13	2770529	2780526	10000	10000	9997	5	0.979664	0.991347	0.011683	acro_acro
chr15_run0147	chr15	4732000	4742000	chr14	h2	PAN010#joint#h2_chr14	2777808	2787808	10000	10000	10000	5	0.991516	0.998800	0.007284	acro_acro
