candidate_id	comparison_id	layer	paf_path	query_name	query_start	query_end	target_chrom	overlap_rows	sum_overlap_bp	query_union_bp	emits_chr3_target	raw_paf_status	note
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr1	134	824694	223877	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr10	53	276675	137272	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr11	58	409895	208101	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr12	36	147617	58847	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr13	14	26374	21070	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr14	50	122459	29946	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr15	43	327896	140124	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr16	51	361274	200744	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr17	18	54871	18048	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
PAN027_chr9q_chr3q_PHR_candidate	PAN027pat_vs_PAN011_joint	raw_frequency32	/moosefs/erikg/phrs/.wg-worktrees/agent-2715/paper_prep/_brainstorming/pedigree_whole_genome_sweepga_fastga_frequency32/raw_paf/PAN027pat_vs_PAN011_joint.sweepga_frequency32_many_many_j0.paf.gz	PAN027#2#chr9	135704825	136204825	chr18	53	166357	74120	no	OK	Raw PAF produced by explicit --fastga-frequency 32 many:many scaffold-jump 0 run.
