arm	community
chr10_parm	C2
chr10_qarm	C1
chr11_parm	C3
chr12_parm	C5
chr12_qarm	C4
chr13_parm	C7
chr13_qarm	C6
chr14_parm	C7
chr15_parm	C7
chr15_qarm	C8
chr16_parm	C9
chr16_qarm	C3
chr17_parm	C10
chr17_qarm	C6
chr18_parm	C2
chr19_parm	C3
chr19_qarm	C6
chr1_parm	C11
chr1_qarm	C6
chr20_parm	C12
chr20_qarm	C5
chr21_parm	C7
chr21_qarm	C6
chr22_parm	C7
chr22_qarm	C6
chr2_qarm	C12
chr3_qarm	C3
chr4_parm	C13
chr4_qarm	C1
chr5_qarm	C11
chr6_parm	C5
chr6_qarm	C11
chr7_parm	C3
chr7_qarm	C4
chr8_parm	C11
chr9_parm	C5
chr9_qarm	C3
chrX_parm	C15
chrX_qarm	C14
chrY_parm	C15
chrY_qarm	C14
