query_chrom	arm	window_bp	winner_windows	winner_bp	mean_inter_minus_same_identity	max_inter_minus_same_identity	target_bp
chrX	p	500000	71	142000	0.11204978591549292	0.7407406999999999	chrY:142000
chr22	p	500000	53	106000	0.11702286037735847	0.9930179	chr14:58000;chr21:34000;chr13:10000;chr15:4000
chr5	q	500000	50	100000	0.032274422	0.8994957	chr1:70000;chr6:16000;chr11:4000;chr17:4000;chr19:2000;chr7:2000;chr8:2000
chr15	p	500000	40	80000	0.10272397250000002	0.9848368	chr13:56000;chr22:20000;chr14:2000;chr21:2000
chr9	q	500000	25	50000	0.02550144400000002	0.4991472	chr3:34000;chr19:6000;chr7:6000;chr11:4000
chr9	p	500000	18	36000	0.007179794444444437	0.03942990000000002	chr2:34000;chr1:2000
chr3	q	500000	4	8000	0.09970157499999996	0.3975567	chr4:4000;chr9:4000
chr14	q	500000	3	6000	0.15013586666666667	0.4334114	chr16:2000;chr18:2000;chr6:2000
chr4	p	500000	3	6000	0.3115602	0.9032455	chr10:2000;chr18:2000;chr22:2000
chr1	p	500000	2	4000	0.4843724	0.9627268	chr4:4000
chr1	q	500000	2	4000	0.4345177	0.8680359	chr4:4000
chr11	p	500000	2	4000	0.05634224999999998	0.11218450000000002	chr7:4000
chr11	q	500000	2	4000	0.19423855	0.388227	chr13:2000;chr21:2000
chr12	p	500000	2	4000	0.005749100000000007	0.010747300000000015	chr10:2000;chr15:2000
chr16	q	500000	2	4000	0.006017049999999968	0.011785099999999993	chr7:4000
chr17	p	500000	2	4000	0.034926349999999995	0.06960679999999997	chr14:2000;chr22:2000
chr18	q	500000	2	4000	0.28490984999999996	0.5680675	chr21:4000
chr19	p	500000	2	4000	0.15505154999999998	0.2987012	chr15:2000;chr7:2000
chr2	q	500000	2	4000	0.0026254499999999736	0.004001199999999927	chr18:4000
chr20	q	500000	2	4000	0.2613246	0.5218997000000001	chr11:2000;chr4:2000
chr21	q	500000	2	4000	0.24651299999999998	0.4670088	chr7:4000
chr3	p	500000	2	4000	0.254174	0.5080979	chr21:4000
chr5	p	500000	2	4000	0.36286314999999997	0.7222192	chr6:4000
chr8	p	500000	2	4000	0.20833105000000002	0.41541490000000003	chr13:4000
chrX	q	500000	2	4000	0.1922761	0.3835522	chr10:2000;chr19:2000
chr10	p	500000	1	2000	0.5195446	0.5195446	chr1:2000
chr10	q	500000	1	2000	0.7436096999999999	0.7436096999999999	chr4:2000
chr13	q	500000	1	2000	0.013250800000000007	0.013250800000000007	chr15:2000
chr14	p	500000	1	2000	0.0002499000000000251	0.0002499000000000251	chr22:2000
chr15	q	500000	1	2000	0.11080250000000003	0.11080250000000003	chr7:2000
chr16	p	500000	1	2000	0.2838562	0.2838562	chr8:2000
chr17	q	500000	1	2000	0.01392760000000004	0.01392760000000004	chr4:2000
chr18	p	500000	1	2000	0.8365473	0.8365473	chr4:2000
chr2	p	500000	1	2000	0.01234920000000006	0.01234920000000006	chr13:2000
chr20	p	500000	1	2000	0.041373899999999963	0.041373899999999963	chr14:2000
chr22	q	500000	1	2000	0.015478299999999945	0.015478299999999945	chr15:2000
chr6	p	500000	1	2000	0.00384630000000008	0.00384630000000008	chr1:2000
chr6	q	500000	1	2000	0.07555789999999996	0.07555789999999996	chr19:2000
chr7	p	500000	1	2000	0.06826659999999996	0.06826659999999996	chr6:2000
chr7	q	500000	1	2000	0.0009989999999999721	0.0009989999999999721	chr12:2000
chr19	q	500000	1	1024	0.347309	0.347309	chr11:1024
chr4	q	500000	1	508	0.1773884	0.1773884	chr22:508
